date_time,City,State,Shape,duration_sec,log_sec
8/13/14 20:03,Mission (Canada),BC,Fireball,4,1.3862943611198906
8/3/14 17:30,Burnaby (Canada),BC,Cigar,900,6.802394763324311
7/28/14 22:00,Nanaimo (Canada),BC,Oval,300,5.703782474656201
4/24/14 23:45,Naniamo (Canada),BC,Circle,2,0.6931471805599453
4/24/14 20:00,Kelowna (Canada),BC,Triangle,600,6.396929655216146
4/14/14 22:00,Savona (Canada),BC,Oval,180,5.19295685089021
4/11/14 21:00,Victoria (Canada),BC,Circle,120,4.787491742782046
2/27/14 22:00,Kamloops (Canada),BC,Disk,3600,8.1886891244442
2/11/14 20:30,Victoria (Canada),BC,Sphere,900,6.802394763324311
2/2/14 20:30,Lake Country (Canada),BC,Diamond,180,5.19295685089021
1/11/14 15:30,New Westminster (Canada),BC,Circle,600,6.396929655216146
1/1/14 01:00,Richmond (Canada),BC,Fireball,300,5.703782474656201
12/23/13 23:00,Parksville (Canada),BC,Circle,300,5.703782474656201
12/2/13 23:30,Surrey (Canada),BC,Oval,5,1.6094379124341003
11/25/13 22:13,Abbotsford (Canada),BC,Formation,180,5.19295685089021
11/10/13 20:00,New Westminster (Canada),BC,Oval,1200,7.090076835776092
10/27/13 19:05,Port Alberni (Canada),BC,Circle,300,5.703782474656201
10/8/13 11:20,White Rock (Canada),BC,Fireball,600,6.396929655216146
10/5/13 15:45,Victoria (Canada),BC,Disk,6,1.791759469228055
8/22/13,Salmon Arm (Canada),BC,Sphere,300,5.703782474656201
8/17/13,Abbotsford (Canada),BC,Diamond,2,0.6931471805599453
8/8/13 21:12,Richmond (Canada),BC,Circle,5,1.6094379124341003
7/28/13 22:40,Langley (Canada),BC,Triangle,20,2.995732273553991
7/27/13 22:30,Prince George (Canada),BC,Sphere,30,3.4011973816621555
7/11/13 10:00,Campbell River (Canada),BC,Oval,30,3.4011973816621555
6/30/13 23:13,Chilliwack (Canada),BC,Triangle,180,5.19295685089021
6/30/13 23:00,Victoria (Canada),BC,Triangle,60,4.0943445622221
6/24/13 00:15,Victoria (Canada),BC,Sphere,25,3.2188758248682006
6/22/13 17:45,Victoria (Canada),BC,Circle,600,6.396929655216146
2/13/13 16:00,Burnaby (Canada),BC,Rectangle,900,6.802394763324311
2/7/13 21:30,Victoria (Canada),BC,Triangle,60,4.0943445622221
1/8/13 20:00,Vancouver (Canada),BC,Fireball,3,1.0986122886681098
11/28/12 06:15,Delta (Canada),BC,Triangle,15,2.70805020110221
11/21/12 21:30,Langley (Canada),BC,Fireball,1800,7.495541943884256
11/21/12 19:06,Vancouver (Canada),BC,Rectangle,7200,8.881836305004146
11/15/12,Savona (Canada),BC,Circle,900,6.802394763324311
11/12/12 22:17,Richmond (Canada),BC,Cross,20,2.995732273553991
9/8/12 23:00,Maple Ridge (Canada),BC,Fireball,240,5.480638923341991
8/14/12 23:00,Kelowna (Canada),BC,Circle,120,4.787491742782046
5/26/12 23:00,Collville (Canada),BC,Triangle,5,1.6094379124341003
5/19/12 16:00,Creston (Canada),BC,Circle,30,3.4011973816621555
4/21/12 22:00,Chilliwack (Canada),BC,Circle,14400,9.574983485564092
3/8/12 20:00,Squamish (Canada),BC,Fireball,15,2.70805020110221
2/13/12 19:00,Surrey (Canada),BC,Sphere,4,1.3862943611198906
1/16/12 23:00,Surrey (Canada),BC,Cylinder,30,3.4011973816621555
10/20/11 22:40,Williams Lake (Canada),BC,Triangle,1800,7.495541943884256
10/3/11 08:00,Prince Rupert (Canada),BC,Circle,120,4.787491742782046
7/15/11 22:58,West Kelowna (Canada),BC,Disk,30,3.4011973816621555
4/2/11 06:05,Campbell River (Canada),BC,Circle,120,4.787491742782046
1/22/11 19:25,Chemainus (Canada),BC,Fireball,900,6.802394763324311
1/2/11 20:30,Abbotsford (Canada),BC,Fireball,120,4.787491742782046
8/15/10 23:00,Salmon Arm (Canada),BC,Circle,120,4.787491742782046
8/8/10 22:07,Vancouver (Canada),BC,Egg,600,6.396929655216146
8/1/10 00:30,Dawson Creek (Canada),BC,Triangle,2,0.6931471805599453
12/25/09 20:30,Nanaimo (Canada),BC,Triangle,1200,7.090076835776092
12/17/09 17:00,Merritt (Canada),BC,Sphere,7,1.9459101490553132
11/13/09 23:15,Vancouver (Canada),BC,Fireball,15,2.70805020110221
11/13/09 23:15,Vancouver (Canada),BC,Fireball,15,2.70805020110221
8/15/09 19:00,Revelstoke (Canada),BC,Disk,10,2.302585092994046
7/28/09 09:30,Summerland (Canada),BC,Oval,2700,7.90100705199242
7/21/09 04:00,Vancouver (Canada),BC,Circle,600,6.396929655216146
3/5/09 03:00,Summerland (Canada),BC,Triangle,300,5.703782474656201
2/27/09 17:30,Surrey (Canada),BC,Disk,300,5.703782474656201
2/9/09 11:00,Penticton (Canada),BC,Sphere,1800,7.495541943884256
11/25/08 19:30,Nanaimo (Canada),BC,Disk,600,6.396929655216146
10/1/08 19:40,Delta (Canada),BC,Disk,5,1.6094379124341003
9/23/08 16:12,Quesnel (Canada),BC,Circle,300,5.703782474656201
8/25/08 21:45,Penticton (Canada),BC,Sphere,1800,7.495541943884256
7/25/08 22:00,Vernon (Canada),BC,Cylinder,1200,7.090076835776092
7/24/08 19:30,Port Moody (Canada),BC,Rectangle,40,3.6888794541139363
6/25/08 00:00,Surrey (Canada),BC,Egg,120,4.787491742782046
6/22/08 23:00,Vancouver (Canada),BC,Oval,30,3.4011973816621555
5/25/08 14:00,Campbell River (Canada),BC,Disk,600,6.396929655216146
5/24/08 23:22,Victoria (Canada),BC,Formation,15,2.70805020110221
5/15/08 23:43,Coquitlam (Canada),BC,Circle,5,1.6094379124341003
2/9/08 16:40,Westbank (Canada),BC,Formation,5,1.6094379124341003
1/20/08 11:00,North Vancouver (Canada),BC,Triangle,180,5.19295685089021
12/7/07 21:10,Victoria (north of) (Canada),BC,Sphere,15,2.70805020110221
11/29/07 18:45,Granisle (Canada),BC,Disk,900,6.802394763324311
10/26/07 14:20,Vanvouver (Canada),BC,Cigar,30,3.4011973816621555
9/11/07 00:10,Vancouver (Canada),BC,Formation,300,5.703782474656201
9/5/07 22:00,Maple Ridge (Canada),BC,Circle,3600,8.1886891244442
8/22/07 23:00,Vancouver (Canada),BC,Formation,3600,8.1886891244442
7/2/07 22:00,Kelowna (Canada),BC,Triangle,60,4.0943445622221
6/21/07 22:21,Coquitlam (Canada),BC,Circle,30,3.4011973816621555
6/10/07 19:17,Kelowna (Canada),BC,Circle,120,4.787491742782046
6/1/07 21:00,Victoria (Canada),BC,Oval,300,5.703782474656201
5/29/07 10:00,Victoria (Canada),BC,Triangle,180,5.19295685089021
5/28/07 00:30,Chilliwack (Canada),BC,Triangle,60,4.0943445622221
4/15/07 18:00,Victoria (Canada),BC,Rectangle,180,5.19295685089021
4/9/07 13:30,North Vancouver (Canada),BC,Disk,300,5.703782474656201
1/21/07 00:00,Maple Ridge (Canada),BC,Oval,960,6.866933284461882
1/19/07 19:30,Coquitlam (Canada),BC,Circle,180,5.19295685089021
12/27/06 02:30,Victoria (Canada),BC,Circle,3600,8.1886891244442
12/9/06 06:11,Chilliwack (Canada),BC,Oval,5,1.6094379124341003
9/22/06 04:30,Winfield (Canada),BC,Disk,5,1.6094379124341003
9/3/06 22:20,Vancouver (Canada),BC,Oval,60,4.0943445622221
9/2/06 16:00,Cranbrook (Canada),BC,Oval,300,5.703782474656201
9/1/06 21:00,Kamloops (Canada),BC,Teardrop,3600,8.1886891244442
8/19/06 22:00,Greenville (Canada),BC,Disk,10800,9.287301413112312
7/31/06 04:00,Kelowna (Canada),BC,Sphere,3600,8.1886891244442
7/27/06 23:40,West Vancouver (Canada),BC,Disk,60,4.0943445622221
7/17/06 23:30,Abbotsford (Canada),BC,Egg,120,4.787491742782046
7/17/06 13:30,Langley (Canada),BC,Disk,3,1.0986122886681098
6/23/06 22:40,Victoria (Canada),BC,Diamond,120,4.787491742782046
5/2/06 05:12,Abbotsford (Canada),BC,Disk,600,6.396929655216146
4/4/06 21:22,Richmond (Canada),BC,Triangle,6,1.791759469228055
1/1/06 23:00,Prince George (Canada),BC,Circle,900,6.802394763324311
5/4/04 21:30,Delta (Canada),BC,Diamond,60,4.0943445622221
12/11/01 20:45,Delta (Canada),BC,Circle,60,4.0943445622221
1/1/01 22:00,Burnaby (Canada),BC,Teardrop,40,3.6888794541139363
7/7/99 21:30,Delta (Canada),BC,Diamond,1800,7.495541943884256
6/1/98 13:00,Nanaimo (Canada),BC,Sphere,180,5.19295685089021
2/16/88 12:30,Little Fort (near) (Canada),BC,Disk,331200,12.710477701493241
10/1/87 19:00,Victoria (Canada),BC,Sphere,900,6.802394763324311
4/14/83 05:15,Mission (Canada),BC,Formation,300,5.703782474656201
7/20/78 17:00,Coquitlam (Canada),BC,Triangle,300,5.703782474656201
6/30/78 21:00,Vancouver (Canada),BC,Formation,5,1.6094379124341003
7/15/74 14:00,Saltspring Island (Canada),BC,Oval,10,2.302585092994046
9/10/71 21:00,Delta (Canada),BC,Sphere,30,3.4011973816621555
11/15/69 06:00,Vancouver (Canada),BC,Sphere,25200,10.134599273499514
8/29/69 19:00,Vernon (Canada),BC,Cigar,4,1.3862943611198906
12092019 05:30,Chilliwack,BC,Circle,900,6.802394763324311
10/1/20 02:37,Everett,WA,Disk,3600,8.1886891244442
9/28/20 00:00,Marysville,WA,Rectangle,7200,8.881836305004146
9/27/20 05:18,Spokane Valley,WA,Sphere,900,6.802394763324311
9/27/20 01:45,Deerlake,WA,Oval,120,4.787491742782046
9/20/20 19:50,Everett,WA,Formation,1800,7.495541943884256
8/30/20 17:30,Tacoma,WA,Sphere,600,6.396929655216146
8/30/20 17:30,Tacoma,WA,Sphere,600,6.396929655216146
8/28/20 02:30,McKenna,WA,Triangle,2700,7.90100705199242
8/23/20 22:00,Arlington,WA,Circle,30,3.4011973816621555
8/22/20 20:38,Olympia,WA,Cylinder,30,3.4011973816621555
8/18/20 05:00,Anacortes,WA,Disk,1200,7.090076835776092
8/17/20 22:38,Monroe,WA,Chevron,7,1.9459101490553132
8/17/20 00:31,Lynnwood,WA,Sphere,10800,9.287301413112312
8/14/20 23:30,Spanaway,WA,Triangle,45,3.8066624897703196
8/14/20 20:30,Winthrop,WA,Cross,300,5.703782474656201
8/14/20 04:30,Shelton,WA,Formation,30,3.4011973816621555
8/14/20 04:30,Tenino,WA,Formation,300,5.703782474656201
8/13/20 03:00,Rochester,WA,Formation,300,5.703782474656201
8/13/20 02:00,Renton,WA,Diamond,5,1.6094379124341003
8/11/20 21:30,Spokane,WA,Cross,60,4.0943445622221
8/11/20 14:30,Lake Kachess (Easbound on I-90),WA,Teardrop,60,4.0943445622221
8/8/20 04:40,Glenoma,WA,Cylinder,180,5.19295685089021
8/7/20 04:40,Kelso,WA,Oval,120,4.787491742782046
8/7/20 04:00,Onalaska,WA,Cigar,240,5.480638923341991
8/7/20 04:00,Zillah,WA,Formation,180,5.19295685089021
8/7/20 04:00,Moses Lake,WA,Rectangle,300,5.703782474656201
8/7/20 03:05,Olympia,WA,Formation,30,3.4011973816621555
7/31/20 16:00,Vancouver,WA,Cigar,20,2.995732273553991
7/30/20 19:10,Kenmore,WA,Oval,300,5.703782474656201
7/25/20 22:15,Balck Diamond,WA,Oval,300,5.703782474656201
7/25/20 00:00,Smokey Point,WA,Oval,3600,8.1886891244442
7/23/20 21:30,Kennewick,WA,Circle,120,4.787491742782046
7/22/20 04:10,Ferndale,WA,Oval,60,4.0943445622221
7/20/20 22:30,Orient,WA,Rectangle,30,3.4011973816621555
7/20/20 21:45,Appleton,WA,Sphere,60,4.0943445622221
7/20/20 10:00,Woodland,WA,Sphere,120,4.787491742782046
7/14/20 23:30,Shelton,WA,Circle,180,5.19295685089021
7/11/20 00:30,Mill Creek,WA,Chevron,12,2.4849066497880004
7/10/20 22:35,Dash Point,WA,Circle,120,4.787491742782046
7/10/20 15:30,Sumner,WA,Triangle,30,3.4011973816621555
7/8/20 20:30,Puyallup,WA,Circle,300,5.703782474656201
7/5/20 00:00,Spokane,WA,Circle,3600,8.1886891244442
7/4/20 23:00,Seattle,WA,Fireball,60,4.0943445622221
7/4/20 22:00,Roche Harbor,WA,Oval,1200,7.090076835776092
7/4/20 20:30,Lake Stevens,WA,Circle,480,6.173786103901937
5/17/20 21:53,Kennewick,WA,Sphere,120,4.787491742782046
5/16/20 19:00,Kirkland,WA,Chevron,900,6.802394763324311
5/13/20 22:40,Port Orchard,WA,Sphere,60,4.0943445622221
5/10/20 23:40,Sequim,WA,Diamond,420,6.040254711277414
5/8/20 13:27,Colbert,WA,Circle,15,2.70805020110221
5/6/20 22:00,Anacortes,WA,Cigar,300,5.703782474656201
5/4/20 14:00,Colbert,WA,Cigar,30,3.4011973816621555
5/3/20 23:30,Vancouver,WA,Cylinder,1800,7.495541943884256
5/3/20 03:05,Spokane,WA,Circle,10,2.302585092994046
5/1/20 01:00,Bremerton,WA,Disk,20,2.995732273553991
4/30/20 17:00,Vancouver,WA,Circle,300,5.703782474656201
4/29/20 16:00,Tacoma,WA,Diamond,3600,8.1886891244442
4/25/20 20:27,Maple Valley,WA,Cylinder,360,5.886104031450156
4/23/20 22:00,Plain,WA,Formation,120,4.787491742782046
4/22/20 01:00,Hoodsport,WA,Circle,14400,9.574983485564092
4/20/20 22:00,Oak Harbor,WA,Circle,10800,9.287301413112312
4/18/20 20:35,Colville,WA,Sphere,600,6.396929655216146
4/17/20 21:30,Kennewick,WA,Oval,600,6.396929655216146
4/16/20 21:15,Snohomish,WA,Formation,900,6.802394763324311
4/16/20 21:00,Washougal,WA,Circle,600,6.396929655216146
4/11/20 21:30,Kennewick,WA,Circle,5,1.6094379124341003
4/10/20 05:45,Seattle,WA,Circle,120,4.787491742782046
4/9/20 20:00,Seattle Queene Anne,WA,Sphere,1800,7.495541943884256
4/9/20 15:40,Anacortes,WA,Cylinder,15,2.70805020110221
4/8/20 17:08,Des Moines,WA,Oval,60,4.0943445622221
4/8/20,Bothell,WA,Sphere,1200,7.090076835776092
4/7/20 21:00,Snohomish,WA,Formation,900,6.802394763324311
4/7/20 21:00,Edmonds,WA,Circle,120,4.787491742782046
3/27/20 18:00,Roslyn,WA,Circle,1200,7.090076835776092
3/18/20 20:30,Vancouver,WA,Diamond,900,6.802394763324311
3/4/20 19:17,La Center,WA,Teardrop,5,1.6094379124341003
2/21/20 07:05,La Center,WA,Cigar,300,5.703782474656201
2/20/20 10:30,Lind,WA,Cigar,1800,7.495541943884256
2/20/20 09:00,Tacoma,WA,Circle,3600,8.1886891244442
2/19/20 05:45,Woodinville,WA,Circle,1200,7.090076835776092
2/19/20 05:45,Ritzville,WA,Formation,600,6.396929655216146
2/18/20 21:00,Fredrickson,WA,Triangle,180,5.19295685089021
2/10/20 20:00,Shoreline,WA,Circle,3600,8.1886891244442
2/2/20 18:15,Spokane Valley,WA,Sphere,7200,8.881836305004146
1/28/20 18:35,Deming,WA,Triangle,600,6.396929655216146
1/14/20 15:58,Issaquah,WA,Cigar,180,5.19295685089021
1/9/20 06:00,Port Angeles,WA,Circle,60,4.0943445622221
1/3/20 05:25,Olympia,WA,Triangle,300,5.703782474656201
12/28/19 21:00,Spokane,WA,Fireball,180,5.19295685089021
12/26/19 21:34,Arlington,WA,Sphere,180,5.19295685089021
12/25/19 22:00,Dash Point,WA,Triangle,30,3.4011973816621555
12/13/19 17:45,Wapato,WA,Fireball,5,1.6094379124341003
12/13/19 17:15,Spokane,WA,Circle,660,6.492239835020471
11/25/19 23:45,Snohomish,WA,Triangle,10,2.302585092994046
11/22/19 04:15,Stanwood,WA,Circle,1200,7.090076835776092
11/21/19 04:19,Seattle,WA,Triangle,1380,7.22983877815125
11/17/19 21:30,Lake Stevens,WA,Sphere,10,2.302585092994046
11/6/19 22:30,Yakima,WA,Sphere,5,1.6094379124341003
11/5/19 20:44,Seattle,WA,Circle,3,1.0986122886681098
11/2/19 13:30,Tacoma,WA,Disk,2700,7.90100705199242
10/30/19 22:10,Sammamish,WA,Formation,30,3.4011973816621555
10/30/19 20:36,Lynnwood,WA,Circle,3,1.0986122886681098
10/19/19 22:15,Redmond,WA,Chevron,120,4.787491742782046
10/17/19 06:25,Auburn,WA,Circle,15,2.70805020110221
10/12/19 20:19,University Place,WA,Egg,720,6.579251212010101
10/9/19 00:00,Battle Ground,WA,Rectangle,1200,7.090076835776092
10/8/19 23:45,Sequim,WA,Fireball,120,4.787491742782046
10/6/19 05:15,Yakima,WA,Fireball,180,5.19295685089021
9/21/19 23:30,Port Gamble,WA,Sphere,50,3.912023005428146
9/18/19 22:15,Vancouver,WA,Triangle,2,0.6931471805599453
9/17/19 05:00,North Bend,WA,Triangle,2700,7.90100705199242
9/11/19 21:00,Everett,WA,Circle,1500,7.313220387090301
9/10/19 12:00,Everett,WA,Cigar,60,4.0943445622221
9/7/19 23:40,Rochester,WA,Circle,1800,7.495541943884256
9/5/19 22:20,Eatonville/Graham,WA,Triangle,20,2.995732273553991
9/1/19 02:00,Port Orchard,WA,Disk,25,3.2188758248682006
8/28/19 14:30,Kirkland,WA,Cylinder,1800,7.495541943884256
8/27/19 18:11,Fircrest,WA,Circle,420,6.040254711277414
8/27/19 05:45,Samammish/Klahanie,WA,Disk,120,4.787491742782046
8/24/19 15:30,Kent,WA,Cigar,20,2.995732273553991
8/17/19 22:40,Olympia,WA,Triangle,240,5.480638923341991
8/15/19 09:11,Lakewood,WA,Fireball,300,5.703782474656201
8/15/19 00:41,Lakewood,WA,Triangle,600,6.396929655216146
8/12/19 22:30,Seattle,WA,Chevron,2,0.6931471805599453
