Date / Time,City,State,Shape,Duration,Summary,Posted
10/3/20 00:38,Kelowna (Canada),BC,Chevron,2 minutes,"I went out to the backyard to call our cat inside for the night. I looked up and noticed what at first appeared to be an airplane, comp",11/5/20
9/20/20 22:00,Vancouver (Canada),BC,Light,1 hour,a small bright orange star,11/5/20
9/16/20 18:30,North Vancouver (Canada),BC,Other,5 minutes,"Two black objects in the shape of an infinity symbol hovered above North Vancouver, BC a few kilometers west of Edgemont village. They",11/5/20
8/16/20 04:12,Prince George (Canada),BC,Light,2-3 minutes,satellite traveling from West to East. Then I saw another behind it ((Starlink satellites??)),8/20/20
8/14/20 00:00,Merritt (Canada),BC,Formation,30 seconds,3 this am about 15 to20 objects flew from west to east across my house. ((Starlink satellites??)),8/20/20
8/14/20 04:30,Mission (Canada),BC,Formation,4 minutes,Formation of lights flying high over west coast Canada. ((Starlink satellites?)),8/20/20
8/14/20 03:00,Kaslo (Canada),BC,Circle,2 minutes,"There were 8-10 crafts moving in a straight line east over Kaslo, British Columbia. ((Starlink satellites?))",8/20/20
8/13/20 03:56,Victoria (Canada),BC,Formation,4 seconds,8 satellite like objects in formation of 4 sets of 2;s spaced equally like Christmas lights on a roof. ((Starlink satellites?)),8/20/20
7/27/20 03:15,Vancouver Island (Canada),BC,Formation,5 minutes,"Here is what I saw back in July 2020; I think in the week of July 27th. I was outside at about 3:10 AM, on an island north west of",8/27/20
7/17/20 23:55,"Bridge Lake, Lone Butte (Canada)",BC,Circle,3 nights,"July 17-20, 2020, Lone Butte, BC: (after 11:55 pm) Myself and 6 friends were staying at a cabin up in Bridge Lake in Lone Butte Canad",8/6/20
7/16/20 22:48,Nanaimo (Canada),BC,Circle,1,"Bright orange... thought it was the space station... drifted east and then dipped a bit south and flickered... no jet noise, faded out",7/23/20
7/5/20 13:30,Duncan (Canada),BC,Sphere,10 minutes,"Single white spherical object observed moving north midday, clear, sunny conditions, stopped remained stationary for several minutes.",7/9/20
6/17/20 10:15,Vancouver (Canada),BC,Cigar,6 minutes,Video of strange object floating through the sky above Vancouver.,6/25/20
6/5/20 18:30,Ocean Park (Canada),BC,Cigar,3 minutes,Daytime Sighting of Orange Metallic Cigar Shaped Object (graphic and simulated video attached).,8/27/20
5/1/20 06:49,North Saanich (Canada),BC,Light,3 minutes,Pulsating/flashing light flying fast and low over Saanich Inlet on Vancouver Island,6/25/20
5/1/20 02:30,Courtenay (Canada),BC,Diamond,30 minutes,"N. sky 30-35 degrees, stationary, flashing green, blue, red, orange, yellow, white diamond shape, bigger-smaller in 1/2 hour.",6/25/20
4/29/20 22:30,Kelowna (Canada),BC,Cone,15 minutes,Space station like object looks like it’s continuously on a loop only seeing one object at a time 10 of them. ((Starlink satellites?)),6/25/20
4/28/20 23:15,Courtenay (Canada),BC,Light,15 minutes,"I watched them go by, they seem to be approximately the same distance apart. In a line. T ((Starlink satellites?))",6/25/20
4/27/20 23:00,Burnaby (Canada),BC,Light,one hour,Several star-like lights travelling across sky with one that sped up to avoid collision into another. ((Starlink satellites?)),6/25/20
4/27/20 20:30,Vancouver (Canada),BC,Formation,10 minutes,"Stars moving across sky in formation, at equal distance and speed, following each other for 10 minutes((Starlink satellites?))",6/25/20
4/22/20 21:57,Burnaby (Canada),BC,Other,30 seconds,Bunch of lights interconnected. ((Starlink satellites)),5/1/20
4/17/20 22:00,Kamloops (Canada),BC,,30,Mass sighting. ((Starlink satellites?)),6/25/20
